"Codigo";"Modelo";"Tipo";"Piezas";"Falta";"Despiece propuesto"
"TMR07V0000012";"TMR 40/7 - Monoposte - Aluminio";"NUEVO (hereda el despiece mudado)";"4";"completo";"BOBBAJ0000017 BOBALT0000017 PRESUP0000016 PREINF0000016"
"TMR19V0000001";"TMR 5/19 - Monoposte - Cobre";"RENOMBRADO";"5";"herreria_cuba (0/1) + herreria_tapa (0/1)";"BOBBAJ0000007 BOBALT0000007 PRESUP0000007 PREINF0000007 PARRUR0000007"
"TMR19V0000011";"TMR 10/19 - Monoposte Bifilar - Cobre - TIPO EDEMSA";"NUEVO";"2";"bobina_bt (0/1) + bobina_at (0/1) + parte_activa (0/1) + herreria_cuba (0/1) + herreria_tapa (0/1)";"PRESUP0000008 PREINF0000008"
"TBR13V0000017";"TBR 25/13 - Monoposte - Cobre - TIPO EDENOR";"NUEVO";"2";"bobina_bt (0/1) + bobina_at (0/1) + parte_activa (0/1) + herreria_cuba (0/1) + herreria_tapa (0/1)";"PRESUP0000050 PRESUP0000025"
"TBR11V0000001";"TBR 10/11 - Monoposte - Cobre";"NUEVO";"0";"bobina_bt (0/1) + bobina_at (0/1) + prensayugo (0/2) + parte_activa (0/1) + herreria_cuba (0/1) + herreria_tapa (0/1)";""
"TBR15V0000001";"TBR 10/15 - Monoposte - Cobre - TIPO EDEMSA";"NUEVO";"0";"bobina_bt (0/1) + bobina_at (0/1) + prensayugo (0/2) + parte_activa (0/1) + herreria_cuba (0/1) + herreria_tapa (0/1)";""
"TTR13V0000011";"TTR 63/13 - Monoposte - Cobre - TIPO EDENOR";"NUEVO";"9";"herreria_cuba (0/1) + herreria_tapa (0/1)";"BOBBAJ0000061 BOBBAJ0000062 BOBBAJ0000063 BOBALT0000061 BOBALT0000062 BOBALT0000063 PRESUP0000052 PRESUP0000027 PARRUR0000029"
"TTR15V0000001";"TTR 10/15 - Monoposte - Cobre - TIPO EDEMSA";"NUEVO";"0";"bobina_bt (0/3) + bobina_at (0/3) + prensayugo (0/2) + parte_activa (0/1) + herreria_cuba (0/1) + herreria_tapa (0/1)";""
"TTR15V0000002";"TTR 16/15 - Monoposte - Cobre - TIPO EDEMSA";"NUEVO";"0";"bobina_bt (0/3) + bobina_at (0/3) + prensayugo (0/2) + parte_activa (0/1) + herreria_cuba (0/1) + herreria_tapa (0/1)";""
"TTD13V0000095";"TTD 16/13 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000109 BOBBAJ0000110 BOBBAJ0000111 BOBALT0000109 BOBALT0000110 BOBALT0000111 PRESUP0000070 PREINF0000070 PARDIS0000001 CUBDIS0000001 TAPDIS0000077"
"TTD13V0000096";"TTD 25/13 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000112 BOBBAJ0000113 BOBBAJ0000114 BOBALT0000112 BOBALT0000113 BOBALT0000114 PRESUP0000071 PREINF0000071 PARDIS0000002 CUBDIS0000002 TAPDIS0000078"
"TTD13V0000097";"TTD 40/13 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000115 BOBBAJ0000116 BOBBAJ0000117 BOBALT0000115 BOBALT0000116 BOBALT0000117 PRESUP0000072 PREINF0000072 PARDIS0000003 CUBDIS0000003 TAPDIS0000079"
"TTD13V0000098";"TTD 63/13 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000118 BOBBAJ0000119 BOBBAJ0000120 BOBALT0000118 BOBALT0000119 BOBALT0000120 PRESUP0000073 PREINF0000073 PARDIS0000004 CUBDIS0000004 TAPDIS0000080"
